,Loss
782,236.83485
783,269.74738
784,229.74109
785,234.20758
786,202.98622
787,236.65448
788,214.28094
789,227.35922
790,242.5594
791,243.44417
792,257.24988
793,229.88281
794,220.19916
795,223.95949
796,241.5944
797,223.33359
798,222.19464
799,193.41837
800,250.39018
801,197.13698
802,226.74506
803,246.33603
804,221.19357
805,211.44206
806,212.84212
807,204.45235
808,231.78964
809,220.69003
810,250.69894
811,221.40524
812,214.3651
813,221.74332
814,227.59824
815,209.11075
816,224.104
817,220.14502
818,196.33861
819,181.99445
820,230.0028
821,162.99786
822,192.0428
823,184.29175
824,208.62729
825,212.72748
826,244.9697
827,244.64456
828,221.26443
829,182.86005
830,212.4018
831,169.6648
832,193.5774
833,211.2471
834,194.01797
835,230.02411
836,209.85895
837,269.5213
838,215.43767
839,214.52151
840,214.92139
841,210.60117
842,221.92262
843,215.79208
844,241.2944
845,187.38516
846,219.18053
847,202.8905
848,210.5206
849,213.37558
850,209.66539
851,218.67383
852,227.08218
853,232.62997
854,238.88945
855,262.74756
856,211.84134
857,217.04773
858,230.56197
859,208.3628
860,234.44986
861,208.98096
862,208.2793
863,227.14058
864,221.53242
865,188.42719
866,207.82112
867,159.59306
868,214.15149
869,218.60793
870,213.9385
871,226.38599
872,213.76639
873,239.58981
874,204.7133
875,178.21118
876,196.57051
877,234.16525
878,234.6679
879,241.81548
880,226.11157
881,209.07738
882,211.94038
883,213.53851
884,220.56442
885,232.74734
886,213.0636
887,238.3874
888,201.98682
889,245.07655
890,218.28702
891,214.95627
892,202.3816
893,218.67204
894,198.7089
895,199.32324
896,208.45412
897,206.41129
898,223.16412
899,206.48694
900,188.68077
901,231.5027
902,186.94496
903,235.12167
904,212.99121
905,232.3494
906,236.43242
907,227.86798
908,179.90486
909,197.73856
910,200.12292
911,209.36064
912,228.9863
913,237.07373
914,227.1556
915,205.74213
916,201.96362
917,207.0455
918,215.78688
919,206.1546
920,256.13892
921,225.41904
922,217.44945
923,221.62746
924,225.27171
925,211.17627
926,201.1614
927,222.4429
928,227.26845
929,218.47408
930,184.05267
931,201.01828
932,186.78978
933,220.74265
934,204.34715
935,209.06232
936,186.896
937,223.18694
938,203.72968
939,224.82877
940,218.71805
941,169.97603
942,193.44836
943,194.94708
944,198.88995
945,230.16293
946,196.3493
947,180.83044
948,203.74445
949,205.83858
950,226.82004
951,236.64459
952,179.8026
953,225.37512
954,204.725
955,234.81436
956,221.00507
957,228.6525
958,204.0152
959,205.74666
960,240.75246
961,226.3537
962,233.81633
963,194.7958
964,201.42226
965,196.21167
966,195.54214
967,235.33694
968,195.32878
969,229.5864
970,180.43515
971,182.58307
972,221.79324
973,212.01144
974,236.80087
975,221.56996
976,219.08176
977,218.43997
978,176.94388
979,192.78671
